index	time	x	y	z	thing
501	1643490305963	0.227	-0.113	9.675	noname
502	1643490305972	0.211	-0.101	9.669	noname
503	1643490305981	0.183	-0.096	9.647	noname
504	1643490305994	0.185	-0.094	9.644	noname
505	1643490306001	0.186	-0.108	9.667	noname
506	1643490306013	0.191	-0.103	9.7	noname
507	1643490306024	0.198	-0.063	9.67	noname
508	1643490306031	0.192	-0.117	9.686	noname
509	1643490306045	0.192	-0.098	9.707	noname
510	1643490306052	0.178	-0.076	9.631	noname
511	1643490306063	0.183	-0.087	9.68	noname
512	1643490306074	0.201	-0.074	9.695	noname
513	1643490306081	0.206	-0.1	9.668	noname
514	1643490306091	0.192	-0.081	9.685	noname
515	1643490306100	0.193	-0.087	9.664	noname
516	1643490306112	0.21	-0.121	9.679	noname
517	1643490306121	0.177	-0.099	9.677	noname
518	1643490306130	0.165	-0.087	9.682	noname
519	1643490306141	0.198	-0.083	9.711	noname
520	1643490306152	0.199	-0.099	9.674	noname
521	1643490306162	0.197	-0.084	9.681	noname
522	1643490306171	0.194	-0.121	9.708	noname
523	1643490306181	0.194	-0.101	9.695	noname
524	1643490306194	0.202	-0.085	9.665	noname
525	1643490306201	0.208	-0.095	9.667	noname
526	1643490306212	0.187	-0.083	9.683	noname
527	1643490306223	0.192	-0.09	9.683	noname
528	1643490306231	0.197	-0.095	9.696	noname
529	1643490306242	0.189	-0.09	9.646	noname
530	1643490306252	0.117	-0.435	7.497	noname
531	1643490306261	-0.035	0.425	13.126	noname
532	1643490306270	0.26	-0.169	8.564	noname
533	1643490306281	0.653	-0.262	8.942	noname
534	1643490306293	0.044	0.256	10.565	noname
535	1643490306301	0.162	-0.4	9.282	noname
536	1643490306310	0.122	-0.16	9.519	noname
537	1643490306323	0.005	0.21	9.795	noname
538	1643490306332	0.221	-0.324	10.2	noname
539	1643490306343	0.294	-0.165	9.127	noname
540	1643490306352	0.274	0.189	10.002	noname
541	1643490306363	0.139	-0.147	9.33	noname
542	1643490306371	0.135	0.062	9.75	noname
543	1643490306381	0.128	-0.281	9.932	noname
544	1643490306394	0.225	-0.141	9.454	noname
545	1643490306402	0.256	0.053	9.689	noname
546	1643490306412	0.22	-0.17	9.822	noname
547	1643490306425	0.186	-0.038	9.616	noname
548	1643490306431	0.169	-0.028	9.618	noname
549	1643490306445	0.136	-0.201	9.805	noname
550	1643490306453	0.184	-0.07	9.656	noname
551	1643490306462	0.21	-0.058	9.619	noname
552	1643490306475	0.239	-0.102	9.749	noname
553	1643490306481	0.215	-0.071	9.646	noname
554	1643490306491	0.163	-0.114	9.643	noname
555	1643490306501	0.157	-0.11	9.7	noname
556	1643490306511	0.186	-0.124	9.687	noname
557	1643490306523	0.172	-0.085	9.664	noname
558	1643490306531	0.206	-0.066	9.688	noname
559	1643490306543	0.215	-0.072	9.724	noname
560	1643490306553	0.209	-0.083	9.687	noname
561	1643490306562	0.178	-0.086	9.716	noname
562	1643490306573	0.193	-0.118	9.643	noname
563	1643490306582	0.196	-0.096	9.711	noname
564	1643490306595	0.213	-0.059	9.674	noname
565	1643490306605	0.201	-0.121	9.621	noname
566	1643490306612	0.184	-0.078	9.692	noname
567	1643490306625	0.18	-0.083	9.675	noname
568	1643490306633	0.187	-0.111	9.622	noname
569	1643490306643	0.142	-0.379	7.667	noname
570	1643490306657	0.066	0.379	12.805	noname
571	1643490306663	0.277	-0.201	8.906	noname
572	1643490306679	0.521	-0.275	8.488	noname
573	1643490306682	0.078	0.29	10.912	noname
574	1643490306692	0.193	-0.402	9.329	noname
575	1643490306701	0.11	-0.175	9.306	noname
576	1643490306713	0.047	0.218	9.957	noname
577	1643490306722	0.236	-0.33	10.089	noname
578	1643490306732	0.275	-0.153	9.175	noname
579	1643490306744	0.216	0.215	9.791	noname
580	1643490306753	0.236	-0.218	10.003	noname
581	1643490306762	0.123	0.086	9.707	noname
582	1643490306773	0.117	-0.282	9.965	noname
583	1643490306783	0.236	-0.16	9.415	noname
